CustomerID,Frequency,Monetary,Recency,TotalRevenue,TotalOrders,TotalItems,UniqueProducts,TenureDays,AvgOrderValue,AvgBasketSize,PurchaseFreqMonthly,CLV,MonthlySpendCV,FavouriteDay,FavouriteHourBin,WeekendShopperRatio,Country,R_Score,F_Score,M_Score,RFM_Score,RF_Score,RFM_Segment,Cluster,Cluster_Name
10004,29,43324.05,21,43324.05,29,1488,29,331,1493.9327586206898,51.310344827586206,2.6669486404833838,47810.90327492448,0.4405452695122584,Saturday,Evening,0.27586206896551724,United Kingdom,2,4,4,10,24,Loyal Customers,2,Potential Loyalists
10008,14,15418.11,9,15418.11,14,658,14,328,1101.2935714285716,47.0,1.2992682926829269,17170.509819512197,1.0498577288305868,Thursday,Morning,0.14285714285714285,United Kingdom,3,3,2,8,33,Champions,3,Hibernating
10009,28,51954.95,17,51954.95,28,1982,28,336,1855.5339285714285,70.78571428571429,2.5366666666666666,56482.45278571428,0.6634828638161415,Tuesday,Night,0.25,United Kingdom,3,4,4,11,34,Champions,2,Potential Loyalists
10012,13,20760.16,34,20760.16,13,898,13,322,1596.9353846153847,69.07692307692308,1.228944099378882,23550.531816149072,0.705768302216749,Saturday,Evening,0.6923076923076923,United Kingdom,2,2,3,7,22,Customers Needing Attention,3,Hibernating
10013,23,25438.05,24,25438.05,23,1056,23,348,1106.0021739130434,45.91304347826087,2.01183908045977,26701.180758620685,0.6980519375281649,Tuesday,Morning,0.21739130434782608,United Kingdom,2,4,3,9,24,Loyal Customers,2,Potential Loyalists
10018,8,13801.81,114,13801.81,8,504,8,169,1725.22625,63.0,1.44094674556213,29831.509803550296,0.7753900189559979,Monday,Afternoon,0.125,United Kingdom,1,1,1,3,11,At Risk,0,Champions
10024,10,16000.66,35,16000.66,10,666,10,304,1600.066,66.6,1.0013157894736842,19226.0562,0.9205963625741082,Thursday,Afternoon,0.2,United Kingdom,2,1,2,5,21,Customers Needing Attention,3,Hibernating
10025,21,31159.33,4,31159.33,21,1139,21,363,1483.777619047619,54.23809523809524,1.7609917355371902,31355.04149421488,0.7215782857263502,Monday,Morning,0.19047619047619047,United Kingdom,4,4,4,12,44,Champions,2,Potential Loyalists
10032,11,10943.31,15,10943.31,11,570,11,312,994.8463636363635,51.81818181818182,1.0732051282051283,12812.090630769231,0.9664273385549319,Sunday,Evening,0.2727272727272727,United Kingdom,3,2,1,6,32,Potential Loyalists,3,Hibernating
10034,14,12349.98,1,12349.98,14,729,14,359,882.1414285714285,52.07142857142857,1.1870752089136491,12566.018647353761,1.2998074567993034,Monday,Night,0.35714285714285715,United Kingdom,4,3,1,8,43,Champions,3,Hibernating
10035,14,12023.039999999999,14,12023.039999999999,14,603,14,346,858.7885714285713,43.07142857142857,1.2316763005780347,12692.994367630057,1.0988568014065283,Monday,Afternoon,0.2857142857142857,United Kingdom,3,3,1,7,33,Champions,3,Hibernating
10036,20,38999.97,3,38999.97,20,1469,20,362,1949.9985000000001,73.45,1.681767955801105,39353.33989392265,0.9245442086620093,Thursday,Morning,0.25,United Kingdom,4,4,4,12,44,Champions,2,Potential Loyalists
10037,29,39823.8,39,39823.8,29,1691,29,319,1373.2344827586207,58.310344827586206,2.7672727272727276,45601.37198746082,0.8633684874723846,Monday,Afternoon,0.3103448275862069,United Kingdom,2,4,4,10,24,Loyal Customers,2,Potential Loyalists
10039,12,13604.3,24,13604.3,12,884,12,331,1133.6916666666666,73.66666666666667,1.1035649546827795,15013.228712990936,0.8462152427904828,Tuesday,Afternoon,0.3333333333333333,United Kingdom,2,2,1,5,22,Customers Needing Attention,3,Hibernating
10042,16,17447.72,66,17447.72,16,857,16,302,1090.4825,53.5625,1.6127152317880795,21103.652852980136,0.9425313432738623,Saturday,Evening,0.3125,United Kingdom,1,3,2,6,13,At Risk,3,Hibernating
